Lx,Ly,Lz,Rx,Ry,Rz
14056,-4188,8276,17072,-2668,3432
14484,-3244,7152,16340,-3704,2456
13388,-560,7736,15796,-4372,4420
14928,-7044,7388,15108,-2712,1796
16188,312,4496,14596,-5692,1544
17704,-292,3236,13716,-4884,2572
17352,-2312,5032,21636,-9916,-2568
17732,5960,-144,8844,-8624,-248
20140,-3036,6216,17828,212,5528
17432,-1216,15160,17268,760,2096
13348,2804,12548,16440,-2660,2812
8732,2636,10288,16400,-884,1956
9600,1856,11228,16056,-4360,2296
12128,5320,12032,16036,-2480,4212
14604,2528,13136,15452,156,2252
20644,-2248,10076,18712,-1248,-2096
14004,3552,7112,18604,-3452,-1908
12564,-2504,5004,17524,-2016,32
31512,-5796,-3796,18716,-6716,-2700
16692,3244,944,20424,-13012,-7300
15732,-4220,904,30564,5108,7572
15864,-2548,2300,12624,1844,21532
16292,-2644,1844,11228,-3256,11040
15428,-2680,1316,7976,-3036,10672
14988,-4416,3056,10884,-4812,12264
15652,-1024,4748,15416,-4852,9700
17568,-2168,5232,18816,-132,5992
18320,-984,-476,7200,-72,1260
20688,2180,620,12128,1920,8516
24752,3836,-6188,-3284,-5816,4968
21596,-8532,16080,18724,3936,13284
7524,-2808,18564,14920,-1004,9652
8524,2488,14304,15232,-5788,4024
5876,1776,12720,17488,2728,3404
8300,3972,13360,14996,-4980,-716
12352,3972,15100,14368,2444,-984
16612,-2036,13144,17356,-2084,-636
16712,1652,8840,18452,-1904,-1816
9308,-4936,4096,17760,-2684,-2692
31360,-14472,6244,23444,-5412,-5132
17372,-3704,7544,22180,-5240,412
14700,-2500,120,20844,8204,7652
14344,-4344,-1356,10220,-7288,10964
15280,-3124,1504,8164,1956,12000
15236,-3624,3608,11304,-1436,12580
16188,-2168,5664,12336,-6364,10696
15364,-3528,3588,15812,-2396,10172
16884,3492,4056,16276,-796,7472
16316,-5264,2032,16124,-2472,1688
18676,3776,2164,8052,208,-3108
23196,300,-2568,16044,1248,15436
26080,4264,-5912,2284,-10836,7584
26224,-25240,10812,23704,7176,8384
8160,1256,13472,20116,1056,2540
7048,-496,13708,16236,1684,1668
8760,552,12992,15884,404,1640
10140,80,15080,17084,308,-1776
14580,2844,16320,14340,-1768,-2892
19132,-2068,10004,16548,-1764,-1572
9388,1084,2900,20676,-1596,-3636
32767,-14800,6096,23724,-8732,-10176
13952,-9352,7532,22676,6676,-3128
12416,4440,2980,22808,10748,4996
16348,-8392,972,13628,-11404,7196
15488,-2344,2756,7880,-1076,11892
15840,-1516,7016,11380,-4372,12960
15828,-3268,3396,13516,-4356,12796
15356,-4540,2008,16216,-1328,9940
18448,68,636,6480,-92,4604
22832,4684,-7268,10432,-200,12452
27104,-1276,2684,3164,-9944,4452
15584,-19200,12600,21900,4412,15768
9420,2744,14872,20500,9732,8848
5028,3412,14140,16892,-3588,496
3400,2360,14080,18040,3080,5192
10572,3340,16976,17244,-1748,92
21828,652,12068,8892,1276,-84
11172,-424,5348,17520,-3036,-3904
32767,-3628,-9068,19900,-11016,-3800
17404,19204,5768,32528,8400,-6360
17320,5148,7436,18956,14700,10776
16600,-1392,3296,8624,-7044,10208
16976,-2008,400,7828,-768,10400
13664,-1640,4404,11764,4204,13752
13972,-2064,6244,12220,-6700,13508
14796,-3552,4108,13244,-448,10096
17116,-1080,3264,15452,-84,5624
14560,1068,9104,12208,-2008,1456
19544,4644,-720,17540,-3648,-3676
22844,-1072,15924,14408,-3860,13096
9760,-15048,22484,20352,-7024,7892
9036,6348,9320,18692,9100,1068
9232,-1788,12584,14928,-6128,-1984
9504,-6792,17100,16252,3120,-3400
13696,5872,12200,15664,-4880,-380
12004,-6452,7668,16388,164,364
10776,1932,9736,16336,-3432,972
20356,-5904,3208,16756,516,-3620
16500,-936,3204,15576,-3976,-3848
15144,-960,-836,19664,660,2552
15944,-2552,1584,17580,-1992,1956
16508,-2264,2740,17184,-1084,4676
16632,-128,3152,15248,-1528,4416
16220,-1920,2244,15932,-1596,3992
16152,-284,2792,16312,-2712,3488
16424,-1612,3952,15192,-2012,3116
16476,-240,4092,16048,-476,4728
16528,-764,4036,14696,-4148,4456
