14728,-5320,15748,16920,1256,-812,0
13388,2708,16024,16640,188,1760,0
16276,-8728,9468,17488,-5880,1788,0
21936,-316,-1524,20412,4160,2984,0
19508,1220,3908,14312,-5036,7240,0
14996,-5436,3516,16092,-780,5232,0
16048,836,2740,14824,212,-1652,0
15652,-1644,5932,16940,-760,-2832,0
16096,648,4800,16792,1212,-2012,0
15932,-2656,5360,16180,280,-3160,0
15332,-932,4492,16296,3088,-4092,0
16032,748,5080,15768,744,-4444,0
15948,-828,5588,16164,4088,-4980,0
16108,616,4932,15596,2952,-5536,0
16136,-184,5912,15008,1400,-4188,0
16476,3488,4916,14392,3600,-2924,0
19212,-6600,2260,14308,2536,808,0
18152,200,3396,22520,3760,-13164,0
17220,-1064,3340,10972,-1108,-3672,0
17760,-2192,416,17868,444,448,0
23388,-4464,4108,15980,1376,3304,0
14216,-4928,14076,16676,2724,2356,0
13204,-6624,11980,16228,1732,2480,0
9120,15820,9352,16704,2344,988,0
11864,-2952,10588,16656,2492,1108,0
15284,-1488,11592,15924,1528,2348,0
19108,7092,9716,17684,-3808,2676,0
17588,-2464,8204,18080,608,3608,0
11728,164,4516,17780,732,3084,0
15216,844,10408,17988,-76,2304,0
16952,4300,3900,26436,-4348,-3924,0
16884,-9052,2988,23436,5388,5732,0
15820,4060,-1356,13668,8416,6616,0
16800,-10604,-892,14900,-4196,3296,0
14712,4244,848,11896,-648,6508,0
16172,-5924,2212,13072,-964,8644,0
16900,-2400,4304,14708,-4884,9856,0
17000,2048,4132,19728,-1220,9256,0
17180,-1412,2856,20316,2688,6252,0
17524,-140,408,6372,-2096,6068,0
19492,1284,800,15464,5360,2084,0
23796,6684,-4808,6816,-4800,10416,0
31280,-10904,8060,19868,6588,9780,0
13140,-2616,12424,15360,1668,6232,0
12884,6512,9712,16432,3948,1956,0
5784,-1312,10324,16288,2024,628,0
13104,1892,11604,15452,1196,2476,0
15928,3816,12360,17804,2836,1680,0
19168,1452,12284,17320,1608,1892,0
18328,4792,12252,16804,356,1920,0
6740,-1400,13320,19272,-8,-1232,0
9012,4572,1180,30944,-3572,-9756,0
18380,-11780,9292,28548,9172,4848,0
15364,13964,3884,8004,752,14660,0
16444,-13088,932,13848,-3916,7968,0
15384,5388,16,10516,-560,8120,0
16664,-9520,4312,14228,-5280,9812,0
17292,2916,2052,16384,-3584,10632,0
14900,-5492,908,21172,2156,8876,0
17808,1620,1044,12172,-2312,5668,0
18180,-44,-912,12316,52,7968,0
29208,6844,-6380,17312,-5680,-2300,0
28568,-11836,5596,23188,6944,5356,0
8152,-6304,19892,13224,-4896,5288,0
12612,6500,8212,16120,6172,3768,0
7296,-1556,11380,17340,1032,932,0
11572,-2612,9184,15588,4888,1868,0
14768,1832,12676,15600,2440,3720,0
20008,1068,11908,15016,3936,1400,0
19760,1880,9932,17436,116,1172,0
6168,-1312,7692,19312,1912,-256,0
32767,9492,-15316,21672,1656,-2556,0
15220,14040,7924,23224,1164,6236,0
16284,4640,-984,21076,9604,6340,0
18904,-8616,4356,14584,-7408,676,0
16240,4508,3020,8316,-3724,6560,0
16764,-1608,3996,11916,-1316,9416,0
16808,-992,2864,14000,-4992,9644,0
16968,-1344,1344,19884,-3680,10556,0
16064,-1884,-1120,18532,376,10088,0
18348,1144,1440,6804,-1364,8624,0
23444,-2504,-5684,32767,9452,3404,0
27396,-2996,2476,21352,-9380,8748,0
13704,-4324,7464,20492,6076,2128,0
10240,5308,7484,17604,260,980,0
6852,-2104,9828,16808,568,816,0
11108,3584,9668,15468,1780,1884,0
14164,4592,13164,15920,3084,3660,0
19952,-1276,12440,14760,7056,6188,0
19844,1428,8884,15800,712,4520,0
5392,432,4976,15260,-1144,3200,0
13612,-4280,10692,22832,-2424,-3448,0
6416,7612,7212,31812,1976,-7020,0
19924,-9744,7416,21136,7244,4752,0
14748,2376,5852,5456,-4,2300,0
15528,-8008,2896,11504,-1180,6492,0
15632,2928,1100,10212,-2212,8348,0
15720,-5780,5160,15192,300,8700,0
18948,128,3600,19408,-4188,8948,0
17908,-968,2944,19480,2416,6996,0
17324,-2420,1812,10600,-716,5828,0
19156,1932,328,12796,1120,9604,0
29304,5840,-656,9796,-6360,5932,0
25392,-9012,8988,21144,7148,8472,0
10872,-1808,19808,12812,-36,5032,0
13860,4032,7940,15792,4068,3912,0
8428,4372,9740,18336,-2292,3828,0
12712,5080,11896,17384,4468,2656,0
15900,4508,12932,16444,328,3680,0
21476,-1140,9140,16128,1016,4752,0
12620,3976,6540,17456,-16,4180,0
10856,-2040,5920,16956,-1904,3928,0
8824,-140,860,23176,352,8860,0
18640,-1808,7888,12316,2256,9412,0
16972,-2008,6768,4884,-3476,6196,0
15736,-712,3812,9752,-12276,10280,0
16012,100,568,16588,-496,388,0
15840,-296,-1800,16100,864,20,0
18160,-1276,-968,16292,3144,484,0
18356,-1344,1592,16712,3144,2288,0
17076,-748,1904,16428,2016,2684,0
15888,1648,484,16552,944,1980,0
16340,-2740,812,16068,1952,1400,0
16200,136,512,15924,2508,2192,0
16352,668,564,15992,1288,2156,0
12992,-208,1724,16264,-212,3660,0
13448,-784,4688,17892,2172,1500,0
30304,484,-4448,22100,3084,-3456,0
15052,2476,1068,20912,-768,-4640,0
16140,1044,188,23500,6084,4120,0
16232,-2988,912,14100,2920,6228,0
16536,-4416,2248,16652,556,-80,0
15404,432,984,13512,-432,3896,0
