Lx,Ly,Lz,Rx,Ry,Rz,label
15472,744,4852,16432,-560,2440,1
16700,-1220,4968,16896,-2968,1880,1
16420,-1092,6204,18988,-2808,356,1
16216,-1576,5092,17672,-908,2020,1
15972,-2596,3784,14584,-2348,3040,1
15684,-1072,2972,12820,-2484,2416,1
15128,-2032,3280,12812,608,4564,1
16464,-1088,5528,18808,5280,10648,1
15876,-1440,7836,14040,-584,852,1
15816,-1892,5124,19096,-1420,6456,1
15864,-932,4276,16740,680,1376,1
15060,-600,4152,16960,1204,140,1
15164,212,6872,16640,1824,1592,1
16360,68,6796,16992,0,2912,1
17256,-1128,5028,16420,-436,3948,1
18188,-1144,3804,16856,332,3440,1
15448,-532,7288,16200,84,836,1
16364,-3376,4940,16588,2452,2196,1
14244,-2260,6024,16688,16,2652,1
15116,6148,8028,16280,240,1252,1
11976,-6724,8924,16420,2100,988,1
16408,-2332,32767,17120,-256,3664,1
21288,-488,1672,17180,716,4576,1
13580,-2440,5196,16420,772,2644,1
15344,-2444,3704,16328,124,2328,1
14452,1040,4504,16504,524,1456,1
17252,-216,5480,16736,-36,2100,1
15576,-2660,2220,15832,3364,4640,1
15844,-2840,1956,17964,176,4628,1
15992,-680,5124,15860,-12584,1444,1
16988,148,3032,16576,3232,5380,1
15708,-5212,8320,16544,2184,3560,1
16492,-1312,5076,16432,1124,3700,1
16120,-284,4300,16172,-756,2404,1
15744,-3580,4432,16552,-240,1556,1
15384,-4048,4312,16544,564,2972,1
16408,5012,2576,15996,-2336,2984,1
16240,-1168,6272,16260,-1416,2948,1
15996,-3512,6408,16720,-636,2484,1
16608,-168,4468,19256,1260,1128,1
15824,-1212,5224,18120,-412,2528,1
15628,-2680,3612,13908,-1968,2896,1
15768,-1996,3264,10264,-6616,6432,1
15532,-1228,3824,13316,-1308,6284,1
16396,-3300,7884,24072,9764,-868,1
16432,-772,6400,16396,-9580,4560,1
16760,-1892,5588,16604,-764,804,1
15340,-1592,4856,17364,-548,1748,1
15432,-1136,4288,15740,-496,1344,1
14424,-1104,6624,16364,3276,336,1
16588,-2392,5328,16968,-532,5204,1
16428,-60,6972,17084,-2664,3648,1
14424,-572,8180,16212,2048,2988,1
16644,4236,5772,15980,1892,3660,1
15276,-5928,5208,16324,2276,744,1
14572,-2908,7052,16176,-1892,1524,1
15532,9292,6412,16064,-256,3604,1
15948,-4572,9260,17428,208,5524,1
14608,-5508,9468,16608,3136,3596,1
15764,-828,5124,15856,1568,4456,1
16040,2596,5484,15936,-3460,1424,1
16552,-1744,4904,16224,-2208,3440,1
17424,-3580,4628,16376,1764,3308,1
17804,-888,4416,16376,1284,1896,1
14064,-276,9052,16588,-28,3496,1
11772,-8656,6196,16396,2400,2008,1
19128,1920,22104,16688,-64,3884,1
20252,-9144,-644,16804,236,3984,1
17304,5640,760,16360,-352,3400,1
12696,-800,1488,15956,604,-76,1
17172,-1360,3920,16356,1584,544,1
11400,-1100,9124,16204,1232,476,1
14764,876,-1748,16316,1296,1900,1
12784,4748,2372,16544,-1844,3928,1
16256,-4532,4032,16348,-2732,3496,1
17376,756,3580,16360,-848,2132,1
15556,-2136,1668,16496,2716,1352,1
15936,-4104,384,15644,1256,4272,1
16460,2124,1944,14536,-3708,6452,1
16320,-1564,2712,17440,-13408,4524,1
15572,-6956,6260,15268,20,5076,1
17452,-3652,6276,16480,6428,6216,1
16024,-1156,3012,14180,-3964,4532,1
16652,4220,4668,17324,-744,3160,1
15580,-3832,3176,15744,-7736,3000,1
15948,-3444,3140,15796,452,4096,1
16028,-4144,4780,16164,-24,4016,1
16368,1004,3756,15508,-2192,4548,1
15620,-3824,3784,16348,-1308,3868,1
15008,-784,7516,16516,-6264,4940,1
17712,-1156,5852,20320,-3004,1000,1
16188,-1880,5456,16944,-3432,3784,1
15696,-4164,2864,12704,-3208,4468,1
16012,-2076,1840,9808,-972,6684,1
15484,-1716,5316,12988,1404,-5700,1
15620,-3392,5792,16448,-4968,3068,1
15656,-4348,3372,15304,524,2968,1
15676,8020,4704,19180,-15300,660,1
15976,-1236,5364,14776,-5352,4524,1
15820,-10216,5312,17676,7352,5120,1
16276,1352,5344,15912,1840,3732,1
15420,1212,4936,16400,-6208,652,1
15988,-1720,4152,16308,188,4212,1
15768,-4704,6556,16484,1732,4156,1
16296,572,4648,15884,-3568,3080,1
15108,-1548,6072,15820,-6308,976,1
16360,6196,4736,16768,-84,3948,1
16040,-9104,5396,15968,8120,7340,1
16052,104,5224,16260,-2160,3292,1
16032,412,3920,16356,-5868,-4,1
16316,1596,4700,15512,-6036,5664,1
15376,-5492,4716,16660,3296,4068,1
