Lx,Ly,Lz,Rx,Ry,Rz
6480,10004,-8708,16480,-3304,-560
-2452,6160,-11956,16692,-2468,-292
4144,4204,-10344,16840,-1584,-552
4080,2952,-19304,16724,-1024,-496
8408,7616,-6912,16592,-1708,-508
12052,100,-10764,16396,-2460,-648
10992,-712,-12200,16392,-2784,-504
7824,-972,-17840,16220,-3280,-448
11528,-388,-6148,16236,-3616,-384
10716,-2304,-14340,16268,-3864,-44
14544,60,-8748,16372,-4128,-224
13624,604,-5668,16188,-4240,-260
11520,-3004,-10460,16164,-4548,-312
14068,-772,-8188,16128,-4520,-268
14184,-2396,-9284,16212,-4128,-232
13872,-2012,-6056,16280,-4600,-240
16188,-3156,-3732,16284,-3808,-204
14536,-2764,-7600,16392,-3556,-84
15012,-2492,-6152,16356,-3684,-116
15056,-2148,-5176,16332,-3656,-220
11892,-1552,-6812,16404,-3460,-272
14280,-172,-3384,16404,-3492,-356
14732,2940,-3184,16300,-3584,-152
13672,-1872,-7408,16372,-3544,-204
15604,1736,-6660,16324,-3736,-268
13852,-1200,-15756,16348,-3804,-272
14644,-1248,-6904,16252,-3896,-352
16080,-500,-7016,16348,-3908,-504
13076,-1124,-8052,16364,-3716,-260
12668,-48,-9356,16328,-3536,-104
11528,-1040,-7912,16428,-3540,-212
12988,-732,-7704,16356,-3660,-312
13512,-964,-7996,16280,-3624,-332
14212,-1188,-8716,16340,-3688,-268
13112,-1392,-9056,16328,-3912,-220
12736,-1124,-8496,16248,-3756,-148
12980,-1324,-8024,16280,-3796,-120
13024,-1276,-7484,16376,-3808,-216
13128,-1604,-8588,16268,-3724,-344
13560,-1632,-8320,16432,-3644,-312
13564,-1804,-7472,16364,-3472,-296
13228,-1632,-7520,16376,-3312,-200
13856,-1868,-8440,16480,-3088,-164
14484,-1704,-7228,16488,-2880,-168
13084,-1844,-7224,16652,-2764,-376
13344,-1476,-7832,16484,-2780,-284
13736,-1576,-8060,16512,-2916,-396
14184,-1536,-7988,16492,-2988,-340
13688,-1728,-7940,16508,-3068,-216
13540,-1936,-7200,16464,-3304,-196
13580,-1912,-7380,16356,-3364,-156
13668,-2256,-7408,16380,-3424,-192
13736,-1812,-7804,16336,-3456,-108
13812,-1776,-7920,16328,-3556,-156
13596,-1704,-7568,16344,-3492,-188
14188,-1948,-7400,16332,-3328,-184
13904,-2176,-7632,16408,-3356,-352
13676,-1992,-7560,16444,-3588,-216
13792,-2040,-7336,16288,-3624,-184
13436,-1992,-7444,16308,-3588,-112
13692,-2052,-7680,16420,-3828,-220
13688,-2260,-7576,16376,-3664,-516
13708,-2200,-7372,16436,-3624,-328
13408,-2140,-7360,16412,-3412,-92
13580,-2036,-7432,16400,-3100,68
13736,-2108,-7380,16416,-3032,-84
13892,-2144,-7636,16488,-2976,-328
13728,-2040,-7728,16528,-2816,-396
13644,-1904,-7068,16612,-2720,-296
13288,-2296,-7356,16616,-2644,-32
14288,-2076,-8064,16604,-2876,60
13672,-1932,-8012,16440,-2596,140
14200,-1796,-10000,16476,-2684,220
13056,-1352,-15368,16440,-2864,400
8032,684,-6808,16488,-2668,204
12492,176,-5040,16580,-2812,44
12940,-2856,-7688,16616,-2652,-116
14264,-4132,-13288,16560,-2556,40
10108,-3220,-9808,16540,-2644,-24
6724,-2188,-13188,16596,-2576,136
5900,-3788,-12880,16516,-2616,72
-15256,-4224,-7648,16528,-2668,-48
-6992,1212,-14260,16532,-2756,-76
-8036,988,-15564,16552,-2892,-224
-7788,-3388,-15296,16524,-3048,-376
-9032,2296,-13120,16428,-3192,-300
-6396,796,-11828,16508,-3272,152
-9628,2372,-14292,16660,-3228,-96
-8672,1668,-11032,16336,-3304,8
-7972,5376,-14056,16420,-3468,320
-8256,768,-10388,16468,-3724,348
-9100,2680,-9548,16824,-1400,156
-8968,3744,-10036,16252,-3848,236
-7032,5740,-13900,16528,-2704,204
-4284,7000,-15380,16388,-2400,728
-1584,6624,-14172,16368,-3040,528
3208,5360,-12312,16536,-2916,880
2264,4708,-6768,16380,-2760,560
4944,8888,-12736,16572,-2640,1024
6748,5492,-13044,16552,-2204,772
7696,6188,-13756,16488,-2932,748
8784,5012,-14644,16592,-2292,728
8660,4572,-10968,16664,-2964,1188
9224,4368,-10688,16356,-2800,1096
9148,4204,-11348,16520,-2828,1092
8784,4364,-11624,16460,-3072,908
8960,4044,-10232,16460,-2952,1168
10088,4604,-11224,16484,-3044,992
10464,4212,-11196,16456,-3048,1268
10040,3896,-11508,16660,-2696,1428
9876,3384,-10556,16392,-2912,1264
11384,3776,-10392,16316,-3324,1052
10984,3340,-11108,16428,-3052,1116
11344,3680,-10420,16300,-2908,948
10712,2568,-11020,16452,-2776,808
11264,3472,-10416,16336,-2776,1464
10620,2768,-10732,16508,-2596,832
10744,3128,-10752,16524,-2980,888
10540,2716,-11008,16464,-2828,804
10904,3164,-10916,16372,-3080,728
10684,2792,-10780,16492,-3252,836
10788,2696,-10552,16400,-3096,676
10632,2844,-10936,16696,-3692,1284
10600,2856,-11084,16536,-3208,480
10700,2980,-11320,16308,-3424,368
10568,2960,-10188,16408,-3068,612
10856,3272,-10744,16528,-2720,636
10508,2680,-10820,16420,-2928,588
10580,3092,-11012,16524,-2868,636
10176,2772,-10972,16400,-2756,504
10544,3340,-11128,16564,-2900,748
10180,2712,-10856,16356,-2976,468
10408,3524,-11444,16432,-3204,524
10184,3396,-11076,16492,-3216,496
10500,3508,-11180,16188,-3324,320
10252,3284,-10648,16780,-3216,704
10124,3292,-10692,16404,-3436,540
10060,2804,-11472,16496,-4456,816
9952,3020,-11580,16544,-2984,320
10000,3036,-10964,15896,-4232,788
10632,3272,-10848,16136,-2936,128
10468,2996,-10696,16304,-3048,576
10352,3256,-11144,15456,-3804,8
10372,3264,-11056,20716,-3168,2704
10432,3092,-11080,16176,-2324,-304
10436,2952,-11196,16828,-3000,100
10504,3104,-10960,16396,-3076,-240
10356,3024,-10752,16640,-3028,-140
10312,2812,-10556,16356,-3420,20
10636,3084,-11048,16336,-3776,108
10440,3144,-11316,16540,-3440,-204
10716,3144,-10964,16304,-3508,-72
10444,3000,-10836,16360,-3552,-116
10380,3196,-10696,16340,-3312,-180
10556,3132,-11260,16464,-3092,-132
10796,2908,-11124,16404,-3116,-8
10544,2900,-10900,16472,-2964,-116
10624,3224,-10624,16428,-3092,-64
10492,3156,-11168,16512,-3140,20
10124,3076,-11056,16452,-3260,-96
10076,3072,-10932,16476,-3372,-152
10412,3160,-10772,16440,-3280,0
10800,3212,-11268,16456,-3200,-36
10648,3028,-11280,16432,-3180,-44
10136,3240,-10836,16472,-3200,8
10144,2972,-10848,16436,-3144,-64
10196,3096,-11224,16384,-3224,-68
10592,3292,-11096,16480,-3172,-36
10636,2996,-11028,16400,-3196,-32
10332,2848,-10848,16528,-3216,-128
10424,2896,-10960,16352,-3116,-132
10560,3108,-11120,16436,-3164,-120
10208,2916,-11244,16444,-3144,-108
10468,3136,-10848,16520,-3052,-24
10532,2900,-10876,16428,-3168,-128
10584,2732,-11236,16452,-3212,-116
10688,3280,-11012,16456,-3168,-120
10204,3000,-10948,16452,-3168,-52
10124,2884,-11172,16364,-3292,-8
10260,2692,-11160,16484,-3148,-204
10688,2624,-11060,16408,-3212,-144
10656,2620,-11016,16412,-3216,-40
10456,2708,-11064,16436,-3152,-40
10480,2964,-10796,16408,-3216,-52
10464,3008,-11140,16416,-3164,-84
10256,2984,-11296,16460,-3228,-92
10656,3068,-11148,16512,-3232,-92
10528,2704,-10824,16428,-3132,40
10652,2888,-11064,16460,-3220,-68
10436,2792,-11232,16496,-3140,-116
10768,3204,-11584,16440,-3092,0
10356,3044,-10996,16500,-3152,-8
10044,2868,-10752,16396,-3220,-40
10092,2936,-10956,16476,-3164,-316
10012,2896,-11120,16536,-3164,-100
10452,3056,-10968,16480,-3144,-208
10324,2940,-11020,16440,-3144,-80
10528,2920,-11192,16492,-3140,-140
10692,2912,-11148,16412,-3120,-108
10288,2476,-10672,16376,-3204,-132
10748,3076,-10900,16540,-3040,-68
10632,2928,-10736,16564,-3160,-20
10208,3176,-10776,16392,-3232,-120
10332,3012,-11328,16436,-3132,-260
10656,2908,-11012,16528,-3188,-172
10668,2680,-10548,16448,-3244,-24
11064,2968,-10332,16476,-3228,-140
11600,3288,-10440,16524,-3148,-76
10720,3076,-11540,16420,-3184,4
8456,3324,-13320,16504,-3156,-140
8076,2912,-11264,16496,-3236,-92
10124,4060,-11052,16416,-3208,-92
10536,3488,-11820,16420,-3152,-20
12900,4996,-14316,16396,-3212,-72
16032,7544,-14848,16428,-3136,-96
12528,9180,-14708,16428,-3212,-40
9920,11136,-12812,16452,-3160,-176
-320,2568,-11004,16460,-3180,-180
-3300,8064,-5340,16412,-3196,40
-6940,7032,-3236,16424,-3236,-176
-8908,7244,-1212,16372,-3168,-96
-15024,-884,-2044,16444,-3124,-124
-17296,2308,-5760,16396,-3140,-112
-15504,476,-2084,16432,-3212,-52
-15896,136,-4992,16484,-3188,-56
-12436,-2360,-4560,16440,-3120,-132
-14360,-3320,-4684,16416,-3132,-132
-15820,-6740,-7848,16328,-3040,-72
-16460,-3868,-3876,16424,-3180,-80
-16060,-5108,-5128,16324,-3084,-88
-14048,-4784,-3112,16444,-3140,-80
-16044,-4848,-4496,16424,-3116,-120
-15548,-4380,-2336,16436,-3152,-132
-15728,-3524,-2280,16444,-3212,-152
